address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,type,ContainBakeries
10600 Perry Hwy,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",HXBBI_M10pAtSVATIVATYQ,"['Restaurants', 'Cafes', 'Bakeries', 'Food']",Wexford,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-18:30']",1,40.6127681,-80.0530733,Loafers Bread,,15090,17,4.5,PA,business,1
145 Lakeview Dr,,w-zxCi0z3CokbN-GOiiUog,"['Food', 'Bakeries']",Canonsburg,,1,40.2584215,-80.1185563,Cakes by Cheryl,,15317,4,5.0,PA,business,1
707 Grant St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",mNMVqHsgJq6YErFPfaUlig,"['Sandwiches', 'Bakeries', 'Restaurants', 'Food']",Pittsburgh,,1,40.4425873,-79.9952301,Au Bon Pain,Downtown,15219,3,4.0,PA,business,1
1717 Cochran Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",1qxmO1zpYegBxV8XDLE8ZA,"['Food', 'Bakeries', 'Grocery']",Pittsburgh,,1,40.3923379,-80.0662223,Giant Eagle,,15220,10,3.5,PA,business,1
2612 E Carson St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: free', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}""]",6WU_JVpPPnbAfBvMcRoPuw,"['Restaurants', 'Food', 'Bakeries', 'Desserts', 'Cafes', 'CSA']",Pittsburgh,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 8:0-17:0']",1,40.4273732,-79.9681119,Bartram House Bakery & Cafe,South Side,15203,57,3.5,PA,business,1
808 Main St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",7laMR-BRYEqBv8oWexxkKw,"['Bakeries', 'Food']",Pittsburgh,"['Monday 6:0-19:0', 'Tuesday 6:0-19:0', 'Wednesday 6:0-19:0', 'Thursday 6:0-19:0', 'Friday 6:0-19:0', 'Saturday 6:0-16:0', 'Sunday 6:0-16:0']",1,40.494872,-79.934197,Brother Tom's Bakery,Sharpsburg,15215,10,3.5,PA,business,1
301 Grant St Ste 4,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",9toyHY_tXx4eenp8Oxmmsg,"['Bakeries', 'Food']",Pittsburgh,,1,40.4381749,-79.9988541,Au Bon Pain,Downtown,15219,9,3.0,PA,business,1
546 Brookline Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",oNObm_C5cPaIerKUKBZ_KA,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-18:0', 'Sunday 7:0-15:0']",1,40.3952444,-80.0225861,DeLuca's Bakery,Brookline,15226,5,4.0,PA,business,1
536 Dewey Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: True', 'GoodForKids: True', 'HasTV: False', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no']",qWcaGio9JsqrvgmQiIRtIQ,"['Pizza', 'Food', 'Restaurants', 'Bakeries', 'Sandwiches']",Bridgeville,"['Tuesday 9:0-21:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-21:0', 'Friday 9:0-21:0', 'Saturday 9:0-21:0', 'Sunday 9:0-21:0']",1,40.3562966,-80.1105925,Country Style Pizza,,15017,13,4.5,PA,business,1
4003 Saltsburg Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2']",Uxjr17Us80sEhKCQxJch8A,"['Event Planning & Services', 'Food', 'Bakeries', 'Caterers']",Murrysville,,1,40.4908467,-79.6948515,Jennuine Cakes & Cafe,,15668,9,5.0,PA,business,1
1830 E Carson St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: paid']",qQvHYQ1uocuEnFcUdhxV_g,"['Restaurants', 'American (New)', 'Bakeries', 'Food', 'Fish & Chips', 'Seafood', 'British']",Pittsburgh,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-0:0', 'Saturday 9:0-0:0', 'Sunday 9:0-22:0']",1,40.4284658,-79.9793686,The Pub Chip Shop,South Side,15203,165,4.5,PA,business,1
330 Pearl St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']",5oc3Jva4wWS4O44a-0Jd8Q,"['Bakeries', 'Food', 'Pizza', 'Restaurants']",Pittsburgh,"['Friday 11:0-19:0', 'Saturday 8:0-16:0', 'Sunday 10:0-14:0']",0,40.4612586,-79.9505342,Bread and Salt,Bloomfield,15224,44,3.5,PA,business,1
994 Perry Hwy,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 3']",YadN7pDaK36He8mslyy5xw,"['Food', 'Bakeries']",Pittsburgh,"['Tuesday 11:0-17:0', 'Wednesday 11:0-17:0', 'Thursday 11:0-17:0', 'Friday 11:0-17:0', 'Saturday 10:0-14:0']",1,40.5390369,-80.0363214,Madison Ave Specialty Cakes,,15237,7,4.0,PA,business,1
2021 Wharton Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",AwopPZrF9trJxZ4yp51xbQ,"['Florists', 'Shopping', 'Drugstores', 'Food', 'Grocery', 'Bakeries', 'Flowers & Gifts']",Pittsburgh,"['Monday 6:0-0:0', 'Tuesday 6:0-0:0', 'Wednesday 6:0-0:0', 'Thursday 6:0-0:0', 'Friday 6:0-0:0', 'Saturday 6:0-0:0', 'Sunday 6:0-0:0']",1,40.4310089,-79.976705,Giant Eagle,South Side,15203,15,2.5,PA,business,1
3800 Forbes Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",NBeX33C2lB6KMqpbSueHjw,"['Soup', 'Restaurants', 'Salad', 'Delis', 'Coffee & Tea', 'Bagels', 'Breakfast & Brunch', 'Bakeries', 'Food', 'Sandwiches']",Pittsburgh,"['Monday 6:0-21:0', 'Tuesday 6:0-21:0', 'Wednesday 6:0-21:0', 'Thursday 6:0-21:0', 'Friday 6:0-21:0', 'Saturday 7:0-21:0', 'Sunday 8:0-20:0']",1,40.4416203898,-79.9566856027,Panera Bread,Oakland,15213,36,3.0,PA,business,1
801 Parkway View Dr,"['BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: True', 'RestaurantsTakeOut: True', 'BikeParking: False', 'RestaurantsPriceRange2: 2', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",ZVWSOxlmz1yJfbZaJwYOug,"['Food', 'Bakeries']",Pittsburgh,,1,40.4308981,-80.1315758,Mediterra Bakehouse,,15205,5,4.0,PA,business,1
440 Market St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",nEM2L6X1lp0H44DwTTLy0Q,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 8:0-15:0']",1,40.4411178,-80.0022675,Mancini's Bakery,Downtown,15222,10,4.0,PA,business,1
10610 Perry Hwy,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: no']",CWsY4g6LBkJOLdEvHfzRAQ,"['Food', 'Ice Cream & Frozen Yogurt', 'Candy Stores', 'Specialty Food', 'Bakeries', 'Desserts']",Wexford,"['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']",1,40.611066,-80.053887,Graeter's Ice Cream,,15090,12,4.5,PA,business,1
927 5th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",BKmKEdTZOdrOA0yHPcvjHw,"['Food', 'Bakeries', 'Desserts']",McKeesport,"['Tuesday 7:0-16:30', 'Wednesday 7:0-16:30', 'Thursday 7:0-16:30', 'Friday 7:0-16:30', 'Saturday 7:0-15:30']",1,40.3520269,-79.8546832,Minerva Bakery,,15132,18,4.5,PA,business,1
4763 Liberty Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",KR89_v-jKxf4_l8h8k4jyQ,"['Food', 'Bakeries']",Pittsburgh,"['Monday 6:0-17:0', 'Tuesday 6:0-17:0', 'Wednesday 6:0-17:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 6:0-17:0']",1,40.4611862,-79.9477047,Paddy Cake Bakery,Bloomfield,15224,28,3.5,PA,business,1
3360 Library Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",vIHEp4EbzDs8CtA-Tf3Mkg,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-17:0', 'Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 9:0-17:0']",1,40.3684469,-80.0130696,Signature Desserts,,15234,22,4.0,PA,business,1
4120 Washington Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",ZR_UyVncA3R3pQu79MGr_A,"['Bakeries', 'Desserts', 'Patisserie/Cake Shop', 'Food']",McMurray,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-22:0', 'Saturday 7:0-22:0', 'Sunday 8:0-16:0']",1,40.2649002,-80.1307667,Bartram House Bakery,,15317,33,3.5,PA,business,1
"Pittsbugh International Airport, 1000 Airport Blvd, Terminal A","['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: no']",gotiJdTgbun2_1_rz6IZnw,"['Coffee & Tea', 'Food', 'Bakeries']",Pittsburgh,,1,40.4980989254,-80.2441778719,Green Beans Coffee,,,13,3.0,PA,business,1
123 University Pl,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: no']",P-GvrPIVAZNPeKsnoC8cuQ,"['Food', 'Bakeries', 'Coffee & Tea']",Pittsburgh,,1,40.4441972,-79.956529,Brioche Doree,Oakland,15213,9,4.0,PA,business,1
4731 Juniper St,['RestaurantsPriceRange2: 1'],zuCu5ff06l4Pe33qYe58MA,"['Bakeries', 'Food']",Pittsburgh,,1,40.458261,-79.95147,Sanchioli Bakery,Bloomfield,15224,3,4.5,PA,business,1
531 Allegheny Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",-igpUhnA1b5iUK6rfAtuPw,"['Food', 'Bakeries']",Oakmont,"['Monday 6:0-19:0', 'Tuesday 6:0-19:0', 'Wednesday 6:0-19:0', 'Thursday 6:0-19:0', 'Friday 6:0-19:0', 'Saturday 6:0-19:0', 'Sunday 6:0-15:0']",1,40.5182579,-79.843508,Oakmont Bakery,,15139,168,4.5,PA,business,1
1707 Murray Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",i6x-Wf2uvx4YydJpPmaXmg,"['Bakeries', 'Food', 'Desserts']",Pittsburgh,,0,40.4377104,-79.9228343,Dozen Cupcakes,Squirrel Hill,15289,45,3.5,PA,business,1
"100 Robinson Center Dr, Robinson Town Center Mall","['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",-WgUeWBmBR6l_6RFEPzzaw,"['Desserts', 'Bakeries', 'Food']",Pittsburgh,,1,40.4541244,-80.161164,Auntie Anne's,,15202,3,3.5,PA,business,1
3780 William Penn Hwy,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsTakeOut: True', 'WiFi: free', 'BikeParking: False', 'RestaurantsPriceRange2: 2']",qcg6At092j5Y5uK1TWsT6w,"['Coffee & Tea', 'Food', 'Bakeries']",Murrysville,"['Monday 6:0-22:0', 'Tuesday 6:0-22:0', 'Wednesday 6:0-22:0', 'Thursday 6:0-22:0', 'Friday 6:0-22:0', 'Saturday 7:0-22:0', 'Sunday 7:0-22:0']",1,40.4270542,-79.7014842,Starbucks,,15668,12,2.5,PA,business,1
3925 5th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",EzcrB9DhKtezASq7fZ6ZyA,"['Bakeries', 'Food', 'Convenience Stores', 'Restaurants', 'Gluten-Free']",Pittsburgh,"['Monday 7:30-17:0', 'Tuesday 7:30-17:0', 'Wednesday 7:30-17:0', 'Thursday 7:30-17:0', 'Friday 7:30-15:30', 'Saturday 7:30-15:0', 'Sunday 7:30-15:0']",1,40.4438616753,-79.9554495825,Oakland Bakery and Market,Oakland,15213,3,3.5,PA,business,1
1719 Murray Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",YVlNo_aIX0CNp4R7ZAKbFg,"['Sandwiches', 'Food', 'Restaurants', 'Bagels', 'Breakfast & Brunch', 'Bakeries']",Pittsburgh,"['Monday 5:30-17:0', 'Tuesday 5:30-17:0', 'Wednesday 5:30-17:0', 'Thursday 5:30-17:0', 'Friday 5:30-17:0', 'Saturday 6:0-16:0', 'Sunday 6:0-16:0']",1,40.437442,-79.9228098,Bruegger's Bagels,Squirrel Hill,15217,15,2.5,PA,business,1
1356 Hoffman Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",5-RN8e3qsBfYSFh08nqvbQ,"['Bakeries', 'Food', 'Grocery']",West Mifflin,"['Monday 6:0-0:0', 'Tuesday 6:0-0:0', 'Wednesday 6:0-0:0', 'Thursday 6:0-0:0', 'Friday 6:0-0:0', 'Saturday 6:0-0:0', 'Sunday 6:0-0:0']",1,40.3823673,-79.868392,Giant Eagle,,15122,4,2.5,PA,business,1
297 Beverly Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",F8SewtxenrhWAUEUC8ts4w,"['Food', 'Bakeries']",Pittsburgh,,1,40.3885913,-80.0493988,Party Cake Shop,,15216,8,4.0,PA,business,1
4007 Washington Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",A5yVFUy0FxwJwVup93tXZA,"['Grocery', 'Bakeries', 'Flowers & Gifts', 'Books', 'Mags', 'Music & Video', 'Photography Stores & Services', 'Florists', 'Videos & Video Game Rental', 'Food', 'Shopping']",McMurray,"['Monday 0:0-0:0', 'Tuesday 0:0-0:0', 'Wednesday 0:0-0:0', 'Thursday 0:0-0:0', 'Friday 0:0-0:0', 'Saturday 0:0-0:0', 'Sunday 0:0-0:0']",1,40.2694401825,-80.1269843561,Giant Eagle,,15317,3,2.5,PA,business,1
2101 Greentree Rd,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTableService: True', 'WiFi: no']",xA6L2w_TlbxHubb1xeBE8w,"['Bakeries', 'Restaurants', 'Pakistani', 'Food', 'Indian']",Pittsburgh,"['Tuesday 11:30-14:30', 'Tuesday 17:0-22:0', 'Wednesday 11:30-14:30', 'Wednesday 17:0-22:0', 'Thursday 11:30-14:30', 'Thursday 17:0-22:0', 'Friday 11:30-14:30', 'Friday 17:0-22:0', 'Saturday 12:0-15:0', 'Saturday 17:0-22:0', 'Sunday 12:0-15:0', 'Sunday 17:0-22:0']",1,40.3905672,-80.0724608,Tamarind Savoring India,,15220,107,4.0,PA,business,1
"1775 N Highland Rd, Ste 8","['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: False', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",T8_NXVNymIRXsI7AcWgBcQ,"['Food', 'Bakeries']",Pittsburgh,"['Monday 9:30-19:0', 'Tuesday 9:30-19:0', 'Wednesday 9:30-19:0', 'Thursday 9:30-19:0', 'Friday 9:30-19:0', 'Saturday 7:0-19:0', 'Sunday 9:0-16:0']",1,40.3491904,-80.0530443,The Pie Place,,15241,14,4.5,PA,business,1
"Donaldson's Crossroads Shopping Ctr, 3909 Washington Rd, Ste 250","['Alcohol: none', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",WXXHPnQ5ADn3mSbFmASHug,"['Food', 'Bakeries', 'American (New)', 'Restaurants', 'Breakfast & Brunch']",McMurray,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 9:0-15:0']",0,40.27116,-80.125909,Dozen Bake Shop & Bistro,,15317,14,3.5,PA,business,1
192 N Craig St,"['BusinessAcceptsCreditCards: True', 'DogsAllowed: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'BikeParking: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",JG9YJqslJuU3Dim3wmakQg,"['Food', 'Juice Bars & Smoothies', 'Cupcakes', 'Desserts', 'Bakeries']",Pittsburgh,"['Tuesday 8:0-16:0', 'Wednesday 8:0-16:0', 'Thursday 8:0-16:0', 'Friday 8:0-16:0', 'Saturday 11:0-15:0']",1,40.4496259,-79.9503549,Millennial Cupcake and Parfait Bar,Oakland,15213,6,4.5,PA,business,1
